key,score,degree
Q484453,0.02561901736695435,10
Q494412,0.022346527801296093,7
Q56435674,0.02666578565127324,6
Q56434961,0.008862632708082642,3
Q484006,0.007994077238748344,19
Q482900,0.005938694289782503,4
Q56803925,0.0046245745011558375,3
Q12617166,0.0033000329263374937,3
Q37682,0.0022846434975769873,18
Q485009,0.001791207034372502,18
Q18648500,0.0014756770443204235,6
Q12597050,0.0011851407229558492,7
Q257425,0.0011906435151148207,14
Q12590443,0.0011249638058135137,3
Q12598213,0.001044626033642816,8
Q7848255,0.0007121962546689207,4
Q56526297,0.0006511160357314203,4
Q18381120,0.000584651318849533,6
Q378483,0.0004626890467294078,19
Q208203,0.0004766386716864562,6
Q10665,0.0003366720615628912,11
Q56697751,0.00030252090357068233,6
Q56805103,0.00030155910795342416,3
Q26530,0.0002448793968970282,9
Q56606161,0.00020883383302359011,6
Q484359,0.00017951996852252607,13
Q56432838,0.00016481806944222536,4
Q496509,0.00016294523512488224,5
Q16172178,0.00015274774310918888,4
Q56825320,9.700749209648781e-05,3
Q56805801,8.202658010244596e-05,4
Q56434653,7.927489892450387e-05,3
Q496634,7.454858171323291e-05,8
Q56833651,6.499626271489389e-05,2
